Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,2/45,0.0744584746361064,0.1581972808935246,0,0,4.641061780596664,12.055221541075596,TIFA;ALPK1
Reactome_2022,CLEC7A (Dectin-1) Signaling R-HSA-5607764,3/99,0.0770835823208496,0.1609019780987936,0,0,3.125634517766497,8.010579186959143,PSMA5;PSMD14;PSMC2
Reactome_2022,POLB-Dependent Long Patch Base Excision Repair R-HSA-110362,1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,FEN1
Reactome_2022,CDC6 Association With ORC:origin Complex R-HSA-68689,1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,CDC6
Reactome_2022,Regulation Of Cytoskeletal Remodeling And Cell Spreading By IPP Complex Components R-HSA-446388,1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,LIMS1
Reactome_2022,Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973,1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,ITGB5
Reactome_2022,"SMAC, XIAP-regulated Apoptotic Response R-HSA-111469",1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,CASP3
Reactome_2022,Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303,1/8,0.0772680713380291,0.1609019780987936,0,0,14.208901651112706,36.38152974515558,EGF
Reactome_2022,TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,3/100,0.0789086435328542,0.1638527923784196,0,0,3.0932544874143075,7.855209980826792,PSMA5;PSMD14;PSMC2
Reactome_2022,Cyclin D Associated Events In G1 R-HSA-69231,2/47,0.0802708691611082,0.1662105850143851,0,0,4.434343434343434,11.184959505346583,E2F1;E2F2
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,3/102,0.0826150134639867,0.1701033844637704,0,0,3.030456852791878,7.5566376689451715,PSMA5;PSMD14;PSMC2
Reactome_2022,Signaling By VEGF R-HSA-194138,3/102,0.0826150134639867,0.1701033844637704,0,0,3.030456852791878,7.5566376689451715,CAV1;ITGB3;ELMO2
Reactome_2022,RMTs Methylate Histone Arginines R-HSA-3214858,2/49,0.0862189382580095,0.1737090833424265,0,0,4.24521813883516,10.404458354124063,H2AC11;H2AC6
Reactome_2022,Signaling By NOTCH3 R-HSA-9012852,2/49,0.0862189382580095,0.1737090833424265,0,0,4.24521813883516,10.404458354124063,EGF;DLGAP5
Reactome_2022,Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,E2F1
Reactome_2022,BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,BCL2L1
Reactome_2022,E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,CCNB1
Reactome_2022,EGFR Interacts With Phospholipase C-gamma R-HSA-212718,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,EGF
Reactome_2022,Formation Of Annular Gap Junctions R-HSA-196025,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,DAB2
Reactome_2022,Interleukin-9 Signaling R-HSA-8985947,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,JAK3
Reactome_2022,NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558,1/9,0.0864990660572792,0.1737090833424265,0,0,12.4321608040201,30.429226090981548,SCD
Reactome_2022,Aquaporin-mediated Transport R-HSA-445717,2/50,0.0892414542606553,0.1787267376313124,0,0,4.156565656565657,10.043965211617904,PRKAR2B;GNG11
Reactome_2022,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,2/52,0.0953787922697506,0.186443564142027,0,0,3.98989898989899,9.375859760148904,EGF;ELMO2
Reactome_2022,Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,GART
Reactome_2022,Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,CASP3
Reactome_2022,STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,BCL2L1
Reactome_2022,Gap Junction Degradation R-HSA-190873,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,DAB2
Reactome_2022,Glucocorticoid Biosynthesis R-HSA-194002,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,HSD11B1
Reactome_2022,HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,ENPP2
Reactome_2022,Zinc Influx Into Cells By SLC39 Gene Family R-HSA-442380,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,SLC39A8
Reactome_2022,Interleukin-21 Signaling R-HSA-9020958,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,JAK3
Reactome_2022,MASTL Facilitates Mitotic Progression R-HSA-2465910,1/10,0.0956381720564831,0.186443564142027,0,0,11.050251256281408,25.93696464958489,CCNB1
Reactome_2022,Innate Immune System R-HSA-168249,15/1035,0.0961167649375934,0.1864656427220071,0,0,1.492845786963434,3.4965307506210124,CTSA;PSMD14;GGH;PPBP;CLU;PSMA5;P2RX7;MUC1;PSMC2;TIFA;LCN2;ELMO2;ALPK1;CFB;BCL2L1
Reactome_2022,Signaling By B Cell Receptor (BCR) R-HSA-983705,3/109,0.0961582714173515,0.1864656427220071,0,0,2.829326692845513,6.625603466421482,PSMA5;PSMD14;PSMC2
Reactome_2022,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",2/53,0.0984917971521169,0.190486773911614,0,0,3.9114676173499694,9.065929283683165,P2RX7;BCL2L1
Reactome_2022,RHOJ GTPase Cycle R-HSA-9013409,2/54,0.1016331727713355,0.1960450411615497,0,0,3.836052836052836,8.77069478933889,CAV1;IQGAP3
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,4/178,0.1036693890276315,0.1985010357989948,0,0,2.3019000703729766,5.217367910182412,RACGAP1;CAV1;ECT2;IQGAP3
Reactome_2022,Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,1/11,0.1046862992439068,0.1985010357989948,0,0,9.944723618090451,22.4431232477853,CASP3
Reactome_2022,Pyrimidine Salvage R-HSA-73614,1/11,0.1046862992439068,0.1985010357989948,0,0,9.944723618090451,22.4431232477853,TK1
Reactome_2022,RHO GTPases Activate IQGAPs R-HSA-5626467,1/11,0.1046862992439068,0.1985010357989948,0,0,9.944723618090451,22.4431232477853,IQGAP3
Reactome_2022,Carnitine Metabolism R-HSA-200425,1/11,0.1046862992439068,0.1985010357989948,0,0,9.944723618090451,22.4431232477853,CPT1A
Reactome_2022,eNOS Activation R-HSA-203615,1/11,0.1046862992439068,0.1985010357989948,0,0,9.944723618090451,22.4431232477853,CAV1
Reactome_2022,Complement Cascade R-HSA-166658,2/55,0.1048020475500832,0.1985010357989948,0,0,3.763483895559368,8.489222766072233,CLU;CFB
