"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",96.5850750273073,-0.319168428726124,0.509933522730128,-0.625902033302952,0.531379200784568,0.818179819451438
"2",44.8169477723272,-0.745941787861728,0.501224614383267,-1.48823853908207,0.136687997018179,0.489221710114957
"3",16.511303209356,-1.06628120705214,0.789509457457074,-1.35056166456386,0.176835887907947,0.541927813021047
"9",138.715874765693,0.790851607058538,0.258421487624564,3.06031674969494,0.0022110301839744,0.0582701024023175
"14",1886.68450545253,0.141739085770038,0.162097497553998,0.874406378314516,0.381896985078927,0.727422828721766
"15",131.566719306003,0.924405915615956,0.41201561467411,2.24361864621837,0.0248569485005297,0.223004639284993
"16",1121.73244643356,0.467616849315067,0.248921203629253,1.87857379161457,0.0603027125247599,0.343836366170502
"18",467.798796004868,-0.136427580216833,0.136681762449007,-0.998140335421346,0.318211313453373,0.678529332975938
"19",858.929716103888,0.35487965634995,0.378474699448271,0.937657541883996,0.348420429927401,0.704830403191854
"20",6570.57496136328,-0.277747816678645,0.366135661738137,-0.75859263574629,0.448096279334658,0.768610944962365
"21",289.652435063649,-0.142080190548409,0.309807457340323,-0.458608039225906,0.646515662530842,0.87462705199372
"22",546.03495916631,-0.148562114275714,0.166004180724517,-0.894929956747609,0.370824531750257,0.7184013055174
"23",1642.57648545563,0.20077315970819,0.172862993696096,1.16145830530485,0.245455569753029,0.617562194722419
"25",1209.59091352493,-0.309565837745491,0.166344148465871,-1.86099625746081,0.0627447052087471,0.349902106933809
"27",733.111517225661,-0.188426135018387,0.17898848262641,-1.05272770769097,0.29246580595719,0.660447213337915
"28",54.7263613198735,2.79597076240306,0.690200169262951,4.050956355732,5.10087220727464e-05,0.00487210581737262
"29",5168.08065583222,0.0854155033385016,0.141214997471084,0.604861416054563,0.545271081905835,0.826144701941607
"30",2345.4285091486,0.144384248285823,0.186765441247155,0.773077970537136,0.43947623765072,0.76415876567623
"31",554.457433630222,0.118172997137726,0.165372494377414,0.714586773227421,0.474864420150676,0.7840470328184
"32",342.007979483435,-0.559126428706207,0.364485903816454,-1.53401386130908,0.125026242750631,0.470153563767585
"34",646.574001862145,0.281514927768621,0.202174553731099,1.39243501505658,0.163790707451029,0.52526538791947
"35",428.361292341559,0.381003607425445,0.248502707621371,1.5331970064727,0.125227321631205,0.470564010492802
