"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",96.5850750273073,0.289681885375701,0.508369061160796,0.569825954227523,0.568795750253817,0.843994347349902
"2",44.8169477723272,0.873401012688325,0.498354086729812,1.7525711857197,0.0796756408624825,0.463273720150037
"3",16.511303209356,0.384956939783695,0.774898300492563,0.496783822520964,0.619341504515993,NA
"9",138.715874765693,-0.502696708208163,0.25759451474256,-1.95150393132617,0.0509971290074267,0.423755770232773
"14",1886.68450545253,-0.0467360133795756,0.161916425358229,-0.288642818516871,0.772854725020032,0.922517185376215
"15",131.566719306003,0.308640237358956,0.413554139779776,0.746311565212023,0.455479226732719,0.78060947982835
"16",1121.73244643356,0.369560413301434,0.249047365242005,1.48389609720354,0.13783648742977,0.533852943100307
"18",467.798796004868,-0.214381716618167,0.134925517551782,-1.58888934063856,0.112085378136118,0.512065728492517
"19",858.929716103888,-0.674186470268281,0.378169264657249,-1.78276378668511,0.0746247629892735,0.456882011357646
"20",6570.57496136328,0.366548489291602,0.366110126160635,1.00119735319961,0.316731405922865,0.694997331730458
"21",289.652435063649,0.276577678311525,0.309205306240205,0.89447908147044,0.37106561717046,0.727596653725708
"22",546.03495916631,-0.0835757909837062,0.164921307455412,-0.50676163240036,0.612322080091628,0.859777342852823
"23",1642.57648545563,0.0408172641474996,0.172729687860355,0.236307172513962,0.813194321669385,0.938057208009067
"25",1209.59091352493,-0.125930723490306,0.165714258020915,-0.759926906678192,0.447298277242594,0.776938848676381
"27",733.111517225661,-0.293808687520805,0.178003287641474,-1.65058011800648,0.0988243413937605,0.491346340645967
"28",54.7263613198735,-1.65035716257271,0.691776903230986,-2.38567832326378,0.0170476552386391,0.321793756240998
"29",5168.08065583222,-0.229066087108019,0.141100459282892,-1.62342552442558,0.104498472031117,0.498474854857942
"30",2345.4285091486,0.195753272898203,0.186704990605698,1.0484629910703,0.294425344812507,0.6799805725621
"31",554.457433630222,-0.177449244384847,0.164572017454427,-1.07824675865073,0.280923650041882,0.670049409583166
"32",342.007979483435,0.194688201812172,0.363484745724561,0.535615879626766,0.592224051697411,0.851456997777596
"34",646.574001862145,0.0216814544496742,0.201943488072848,0.107363969279629,0.914500237592705,0.975145641666185
"35",428.361292341559,0.0843088173540572,0.248400590963869,0.339406669794599,0.73430339471708,0.9067863576755
"36",636.906917884131,0.104758101900374,0.238042976199334,0.440080625662533,0.659878713627382,0.879941571637415
"37",7133.33367327833,0.0543563537522198,0.227283995269542,0.239156099345038,0.810984542613558,0.937159025728164
"38",484.922284386714,0.13158066550069,0.173382552418523,0.758903728577435,0.447910148357578,0.777395941392159
"39",378.978945959371,-0.285884531671155,0.169050163272991,-1.69112248184874,0.0908134122105953,0.479188936440948
"41",25.7437933307392,0.821530637072863,0.723674055169769,1.13522190163379,0.256282355113311,0.649813064331055
"47",2926.03272908029,-0.125197876966761,0.167705986640856,-0.746531948408457,0.455346139638177,0.780582011072452
"48",254.833916795134,-0.0430018231320274,0.219594856044815,-0.195823453729953,0.844748352043072,0.949479971001081
"50",1522.95536537961,-0.0573429954320609,0.153834002025864,-0.372758913354019,0.709327884786516,0.8978201672387
"51",1000.99418058501,-0.535530579903242,0.209816520959086,-2.55237565400138,0.0106991092614301,0.280289026573885
"52",1456.54391275414,0.0732525438943046,0.126085890190455,0.58097336493128,0.561258404885542,0.839568895627317
"53",747.797845797729,-0.0586008252776476,0.27559057535505,-0.212637261641298,0.831609905425819,0.944298980870806
"54",1548.77477487128,-0.0675112158380604,0.26390742427495,-0.255814007595801,0.798094457223134,0.933399743210699
"55",578.507682614712,-0.356662161615579,0.345400913466351,-1.03260341160136,0.301789530975589,0.686708240263786
"58",25.5427760111465,-0.0433616504186524,0.507281295159783,-0.0854785122818188,0.931880977655298,0.980930901145254
"59",146.484162844991,0.276151853736998,0.424429510425038,0.650642443454156,0.515277325317526,0.814735205108652
"60",119211.645329187,-0.0673460303562304,0.243095860381404,-0.277034871143294,0.781753330332687,0.925633523251549
"71",35822.9635702899,0.00919899175315484,0.150839484974254,0.0609853033821017,0.951370913470585,0.986410876607549
"81",5030.48943313659,-0.0557453897022059,0.182939059729243,-0.304721090098043,0.760578585494191,0.918242950040984
"86",565.619851210511,0.346731321070436,0.160945791383495,2.15433605371053,0.0312138274122532,0.373964130031939
"87",2391.04646962162,-0.672564635617477,0.26580662084152,-2.53027796481591,0.0113972195120171,0.28576815995869
"89",16.3929586442236,0.459100742551317,0.481578520783875,0.953324790740313,0.340425534525114,NA
"90",401.332267113106,-0.12417176686886,0.193613453240644,-0.641338526794033,0.521302763174007,0.817918229683033
"91",939.096677518867,-0.9356300470097,0.387109066075959,-2.41696753964969,0.0156504127226514,0.316845192341746
"92",293.394278189771,0.122400722243934,0.267212462740291,0.458065170272008,0.646905621048947,0.875985757176282
"93",197.446168821315,0.00565023338367538,0.388516184624966,0.0145431094180273,0.988396686551459,0.996452696743716
"94",71.5403230031929,-0.470389221727989,0.578537048699105,-0.813066721976931,0.416179804805771,0.758902062381185
"95",20.9194714988538,0.284468328366031,0.575334796872611,0.494439637429088,0.620995726526293,NA
"97",112.922513120705,0.98444007092792,0.315892065653863,3.11638112495872,0.00183085479918552,0.165581575118695
"98",99.4113073361739,0.0956700903583432,0.189510136844922,0.504828353517739,0.613679399468604,0.860650853707166
"100",1155.2341711803,0.350281338839411,0.288971969227639,1.21216372569159,0.225449713957146,0.624245660088383
"101",7917.78922014731,-0.12614469282618,0.283973291437202,-0.444213229306727,0.656888428471278,0.879305653834351
"102",3375.4298346254,-0.448234053642156,0.253832244371054,-1.765867274872,0.0774181185924703,0.460635915618317
"103",12837.2942848457,-0.271838412278863,0.212668660262884,-1.27822506589753,0.201170080424473,0.598690044342537
"104",1108.4607936893,-0.0403188707045547,0.227134588043842,-0.177510924477835,0.859107085004752,0.955767570319084
"105",15.3242964581011,2.21953527970053,1.81873566523357,1.22037265894573,0.222323637100893,NA
"107",23.889695530824,0.95084549272026,0.729280064387324,1.30381391066692,0.192297038503877,NA
"109",558.587688469394,0.31403143953968,0.286346968753228,1.09668155701802,0.272780621403944,0.663787729059026
"111",15.8576905174953,0.411334629570381,0.476938194324768,0.862448498495142,0.38844076216575,NA
"112",27.9711945029967,-0.111646725307016,0.448203124555931,-0.249098498404341,0.803284590955974,0.935386616150654
"113",13628.1160429464,0.0787280257216721,0.164091838397065,0.479780265068201,0.631383647103125,0.86861897153544
"115",835.506356897812,0.0347860720426465,0.196338805927111,0.177173696653531,0.859371955824282,0.955987339450719
"118",5740.74229917008,0.0540635276864581,0.12953720446504,0.417359073863979,0.676415785283908,0.88670366608907
"119",166.707914239169,0.447072124778318,0.363720017295635,1.22916557659496,0.219009732449248,0.617375261275932
"120",8087.09137387837,-0.0965827999062957,0.215674533486461,-0.447817358614381,0.654285014601521,0.878256090218094
