"GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1",-0.0241788697081329,1.98866806649583,-0.0413806989076861,0.967440794291197,0.98713838157804,-5.94517468093821
"2",0.185826101643555,0.892943337902308,0.409539878489732,0.686900073068917,0.853192860287021,-5.65175237976478
"3",-0.964939187312772,-0.829718705339094,-1.39376963174066,0.180092669362849,0.439098932953782,-4.63466268547134
"9",0.0964928302335362,2.66123067381237,0.383195180442623,0.705992543821167,0.864146376330998,-6.05743050976501
"14",0.147076989871074,6.49328094311308,1.05894023509644,0.303412620797307,0.574533276968491,-5.97983621096102
"15",1.25430288481891,2.42378417134941,3.30703567965896,0.00385493883539264,0.0752029616443165,-1.84191793928714
"16",0.889260599355398,5.68733255724869,3.89757941411074,0.00102844126851501,0.0456931244257341,-0.862391174101032
"18",-0.38539417773413,4.48117575631187,-2.76712897204294,0.0125695706395611,0.122315955812388,-3.13572074179584
"19",-0.458652368294702,5.21325171420872,-1.42830513551235,0.170058911187357,0.426588455181844,-5.49655212835975
"20",0.134722678668128,8.19700029585611,0.351409277936007,0.729297118602284,0.875406788546078,-6.43853761463267
"21",0.105956783018816,3.74763796850245,0.388080741395935,0.702436235550993,0.862261626732665,-6.20378832065375
"23",0.317617525794821,6.29226961553759,1.97482609874018,0.0635805207114137,0.258828715892642,-4.72027352073452
"25",-0.396621049703477,5.84288900097065,-2.87715769421377,0.00991358590596598,0.110252828225888,-3.01326514048415
"27",-0.480290860655713,5.1090893921555,-3.01436729395473,0.00735259059484473,0.0963346979702078,-2.69438272634327
"28",0.37371802851014,0.576862494564296,0.600117871098508,0.55579103047719,0.771826202502138,-5.67233931705646
"29",-0.0819831244744842,7.95577562346994,-0.715870480961927,0.483111779790447,0.724197167367994,-6.24331045738283
"30",0.387893208721415,6.79276664532466,2.81634235147445,0.0113065153037363,0.116978958434075,-3.14954805757079
"31",-0.0921411787820459,4.7244288116899,-0.605087244575752,0.552555400079707,0.768860623399817,-6.25690953730342
"32",-0.524544504288674,3.92202119269343,-1.48278350614529,0.155158678415331,0.410132642653061,-5.23279608524269
"34",0.30201712411791,4.93780795265156,1.65128314382725,0.115746394342364,0.352295311602562,-5.16426400829092
"35",0.532253197563662,4.3221062946817,2.35349338708271,0.0299697810433475,0.179562035741224,-3.92184605955403
