"GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1",0.48444924908642,1.98866806649583,0.850795073741267,0.405884486730382,0.745955106836303,-5.3175175744936
"2",1.06441662282947,0.892943337902308,2.46708212502203,0.0237079552886359,0.450370664376266,-3.24192878891193
"3",0.754493704588314,-0.829718705339094,1.25633435291759,0.224805498130929,0.621203563253714,-4.67056268633104
"9",-0.647847402377744,2.66123067381237,-2.31185231959597,0.0326286242264583,0.452052548441659,-3.53226916905494
"14",0.036873733333584,6.49328094311308,0.252040143809418,0.803820529632968,0.933343813526754,-6.1133766921759
"15",0.434234278736238,2.42378417134941,1.03644204758674,0.313505741211304,0.688357021392433,-5.15984425569305
"16",0.383711994847064,5.68733255724869,1.58782887157713,0.129462258522064,0.534231389590244,-4.94266113811906
"18",-0.209812683756955,4.48117575631187,-1.48036001021017,0.15579795556627,0.557831995140576,-5.01268730342837
"19",-0.721581161931451,5.21325171420872,-2.12949192249435,0.0470416502792521,0.457835929598921,-4.07747967754532
"20",0.569446152142447,8.19700029585611,1.39927897580661,0.178460745201965,0.576393976465967,-5.16925518437012
"21",0.380730760510099,3.74763796850245,1.38452854292804,0.182856924779009,0.580970799067009,-5.04183679645103
"23",0.0814968260441544,6.29226961553759,0.480756828105134,0.636389962451522,0.864089123328672,-6.03012259709125
"25",-0.0518061188410757,5.84288900097065,-0.362933019526996,0.720815414457834,0.89938317601613,-6.07655444915801
"27",-0.245836581881009,5.1090893921555,-1.50430172663364,0.149576710592487,0.552686805405514,-5.03697865968691
"28",-2.2729301181237,0.576862494564296,-2.52502296806243,0.0210084599419963,0.450370664376266,-3.24082508608536
"29",-0.123785447687197,7.95577562346994,-1.02851117855754,0.31712017636905,0.692553029891091,-5.59527318226198
"30",0.282782339443903,6.79276664532466,1.95112929885268,0.066531139593013,0.473590732391991,-4.40990516230212
"31",-0.17219598883672,4.7244288116899,-1.08203609287605,0.293296995446371,0.669101430844901,-5.49174746287301
"32",0.202163496482127,3.92202119269343,0.596647490838641,0.558056575538319,0.825180994870984,-5.8146678852771
"34",0.035750831139719,4.93780795265156,0.185223279418869,0.855092461706115,0.950089018305098,-6.05748823849064
"35",0.157495029230742,4.3221062946817,0.654971453592586,0.520639267400298,0.806786182699251,-5.78300741810904
"36",0.149181404133497,4.91085907531107,0.659825371280089,0.517589448900476,0.80537740160726,-5.87865231115105
"37",0.213724679246328,8.3588691309634,1.15156447587861,0.26433192304114,0.650039456694237,-5.46453354240018
"38",0.0970717470489015,4.52150353883581,0.605752500941482,0.552123003374658,0.822393515903437,-5.83709166866821
"39",-0.339969654454718,4.17057873891697,-1.97087323540485,0.0640644350075014,0.473590732391991,-4.2442186347991
"41",1.43947906146553,-0.122483345545368,2.06392958677715,0.0535070931241569,0.4672562524039,-3.81380411229056
"47",-0.0502097096197991,7.13102345838789,-0.303948607934272,0.76459790308475,0.919285340125017,-6.09004736066719
"48",-0.0978856179316221,3.58730639217896,-0.453738268689155,0.655355053870192,0.872422512864853,-5.79972912232292
"50",0.0183034407170579,6.18903390952682,0.128506726511978,0.899150518466907,0.965656108652637,-6.1369093720173
"51",-0.468050629864194,5.54199633771018,-2.55803845680477,0.0196026720488897,0.450370664376266,-3.33197029132309
"52",0.137530142496833,6.13683144694538,1.02608580920583,0.318231411966535,0.693503878378722,-5.63083322699115
"53",-0.06845654412869,5.05017493495852,-0.277138185277916,0.784782016635321,0.926189602825553,-6.02612162464744
"54",-0.0387420155756129,6.17567163716209,-0.144341526716603,0.886809404947589,0.961534329126569,-6.13471868064412
"55",-0.403143212494781,4.6546958191545,-1.22822722527946,0.234933340263067,0.629210040549627,-5.31056089027044
"58",-0.252157898184619,0.0660641170207341,-0.445282165595255,0.661341292679546,0.875552778661162,-5.20568835441684
"59",0.313915242387492,2.61253686315083,0.693686784746072,0.496595097151792,0.795160553410177,-5.45857588556675
"60",-0.0394087810084915,12.3892143986175,-0.215611817352703,0.831676568795816,0.942827835330591,-5.93558706292862
"71",-0.00268070308458235,10.7207243281876,-0.0161367965937064,0.987299988070882,0.996369050953939,-6.01707834303053
"81",0.0580861368197061,7.90644949094661,0.328920965590844,0.7459518754367,0.910739372310755,-6.06029631135541
"86",0.371431930273981,4.74788720815841,2.29252736630532,0.0339354675481442,0.452052548441659,-3.76449413045946
"87",-0.546475196404042,6.76806339932085,-2.44571532088448,0.0247832750720815,0.450370664376266,-3.55304115150603
"89",0.153572288286833,-0.477097360786503,0.317096290578769,0.754761689979827,0.915219920878369,-5.19462892660207
"90",-0.131959336927629,4.25007766929436,-0.725304186169647,0.477443812016076,0.785207848574754,-5.73584803411865
"91",-0.931252664699,5.29674223036906,-2.71301616119532,0.0141141821105087,0.44344611332678,-3.02633211475667
"92",0.0402751461409405,3.77992271828068,0.167113121019261,0.869114825985645,0.955136140417267,-5.91433883670897
"93",0.0996476185632207,3.10107570996642,0.275933659069731,0.785692654673183,0.926569242453344,-5.82962601040236
"94",-0.553898697487674,1.23066665487931,-0.871894570527287,0.394567784111476,0.738838849868414,-5.10504797653452
"95",0.161843432780566,-0.158066585652385,0.314313803326345,0.756839832689445,0.916400149839202,-5.24578408744068
"97",0.871020583604073,2.34140358220389,3.15630737869465,0.00538225148587502,0.417811243700656,-2.06789792868993
"98",-0.0184710219299391,2.24764933543377,-0.0903445514334417,0.928995480676472,0.978131395424575,-5.65982871271792
"100",0.45695044655887,5.73966545129329,1.58829751868647,0.129356143157547,0.534181387932735,-4.95005431488011
"101",0.0848610149605982,8.51615038449347,0.296261465801041,0.770368157743574,0.920807670668722,-6.04718178285377
"102",-0.361594636842566,7.29454853161166,-1.60018234433775,0.126689440315987,0.530829973848423,-4.92908354422314
