Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Platelet activation,4/124,0.0360311091292546,0.1893314459703856,0,0,3.346938775510204,11.123124524025986,GUCY1B1;ITGB3;ITGA2B;MYLK
KEGG_2021_Human,PPAR signaling pathway,3/74,0.0380555884306284,0.1893314459703856,0,0,4.231572174161721,13.83177100318916,CPT1A;FABP5;SCD
KEGG_2021_Human,Glioma,3/75,0.0393585070908985,0.1893314459703856,0,0,4.1725888324873095,13.498504866555718,EGF;E2F1;E2F2
KEGG_2021_Human,Parkinson disease,6/249,0.0394951386007914,0.1893314459703856,0,0,2.489117983963345,8.043778139892218,PSMA5;PSMD14;CASP3;PSMC2;TUBB1;BCL2L1
KEGG_2021_Human,Chronic myeloid leukemia,3/76,0.0406838872546084,0.1893314459703856,0,0,4.115221472776581,13.17662292356699,E2F1;E2F2;BCL2L1
KEGG_2021_Human,Purine metabolism,4/129,0.0407164399936313,0.1893314459703856,0,0,3.212244897959184,10.282792107158688,GUCY1B1;RRM2;PDE5A;GART
KEGG_2021_Human,Bacterial invasion of epithelial cells,3/77,0.0420316296186853,0.1899589283090965,0,0,4.059404582247222,12.865604326296657,CTTN;CAV1;ELMO2
KEGG_2021_Human,Base excision repair,2/33,0.0428939515536669,0.1899589283090965,0,0,6.4415118931247966,20.28447846195992,FEN1;PCNA
KEGG_2021_Human,Chemokine signaling pathway,5/192,0.0440298872906311,0.1904548613036604,0,0,2.689291101055807,8.398351194214666,CXCL9;PPBP;GNG11;JAK3;PF4
KEGG_2021_Human,DNA replication,2/36,0.0501995008461569,0.2065286438944171,0,0,5.872251931075461,17.568310863627904,FEN1;PCNA
KEGG_2021_Human,Fluid shear stress and atherosclerosis,4/139,0.0510769764470063,0.2065286438944171,0,0,2.9727891156462585,8.842327688335232,NQO1;CAV1;ITGB3;ITGA2B
KEGG_2021_Human,Measles,4/139,0.0510769764470063,0.2065286438944171,0,0,2.9727891156462585,8.842327688335232,CASP3;HSPA2;JAK3;BCL2L1
KEGG_2021_Human,Apoptosis,4/142,0.0544414921275498,0.2102943085478218,0,0,2.907719609582964,8.463292126596956,CASP3;BIRC5;BCL2L1;LMNB1
KEGG_2021_Human,Colorectal cancer,3/86,0.055148891178145,0.2102943085478218,0,0,3.617576906611216,10.482720030479646,EGF;CASP3;BIRC5
KEGG_2021_Human,Proteoglycans in cancer,5/205,0.0554001135421681,0.2102943085478218,0,0,2.5128205128205128,7.270026059022339,CTTN;ITGB5;CAV1;ITGB3;CASP3
KEGG_2021_Human,Gap junction,3/88,0.0582996390300356,0.2168746571917326,0,0,3.532099134069872,10.038788675236006,GUCY1B1;EGF;TUBB1
KEGG_2021_Human,Human immunodeficiency virus 1 infection,5/212,0.0621632060649146,0.2263210056896674,0,0,2.426978818283166,6.742127733185862,CCNB2;CCNB1;CASP3;GNG11;BCL2L1
KEGG_2021_Human,Homologous recombination,2/41,0.0632725392250683,0.2263210056896674,0,0,5.118104118104118,14.127522570834804,RAD51;RAD54L
KEGG_2021_Human,Fatty acid degradation,2/43,0.0687896467784887,0.2414127226565832,0,0,4.867947770386794,13.030045670347697,CPT1A;ACAA2
KEGG_2021_Human,Prostate cancer,3/97,0.0734906143235922,0.2531343382257066,0,0,3.1924613889188898,8.33423196719981,EGF;E2F1;E2F2
